t;R;G;B
34;0.273239436619718;0.0253521126760563;0.208450704225352
35;0.107042253521127;0.0225352112676056;0.135211267605634
36;0.0478873239436619;0.0422535211267607;0.0788732394366198
37;0.0225352112676056;0.0591549295774649;0.180281690140845
38;0.0422535211267607;0.0929577464788733;0.166197183098592
39;0.0366197183098593;0.109859154929578;0.194366197183099
40;0.11830985915493;0.129577464788732;0.335211267605634
41;0.112676056338028;0.290140845070423;0.0676056338028168
42;0.129577464788732;0.405633802816902;0.335211267605634
43;0.140845070422535;0.464788732394366;0.501408450704225
44;0.349295774647888;0.811267605633803;1.0056338028169
45;0.394366197183099;0.577464788732394;0.673239436619719
46;0.540845070422535;0.501408450704225;0.535211267605634
47;0.664788732394366;0.354929577464789;0.32112676056338
48;0.859154929577465;0.177464788732394;0.338028169014085
49;1.00281690140845;0.0816901408450705;0.264788732394366
50;0.898591549295775;0.0366197183098593;0.36056338028169
51;0.47887323943662;0.0338028169014084;0.247887323943662
52;0.185915492957747;0.0309859154929579;0.191549295774648
53;0.0845070422535212;0.0366197183098593;0.202816901408451
54;0;0.0873239436619717;0.225352112676056
55;-0.00281690140845048;0.140845070422535;0.180281690140845
56;0.0253521126760563;0.256338028169014;0.152112676056338
57;0.0169014084507044;0.51830985915493;0.35774647887324
58;0.0507042253521128;0.653521126760564;0.323943661971831
59;0.0450704225352114;0.746478873239437;0.411267605633803
60;0.0169014084507044;0.909859154929578;0.484507042253521
61;0.107042253521127;0.873239436619718;0.647887323943662
62;0.0253521126760563;1.00281690140845;0.509859154929578
63;0.104225352112676;0.723943661971831;0.690140845070423
64;0.101408450704225;0.884507042253521;0.943661971830986
65;0.183098591549296;0.664788732394366;0.754929577464789
66;0.188732394366197;0.630985915492958;0.8
67;0.261971830985916;0.735211267605634;0.72112676056338
68;0.343661971830986;0.538028169014085;0.87887323943662
69;0.388732394366197;0.656338028169014;0.836619718309859
70;0.563380281690141;0.43943661971831;0.687323943661972
71;0.625352112676057;0.323943661971831;0.628169014084507
72;0.659154929577465;0.230985915492958;0.51830985915493
73;0.952112676056338;0.0901408450704226;0.416901408450704
74;0.853521126760564;0.0507042253521128;0.214084507042254
75;0.377464788732394;0.0197183098591549;0.180281690140845
76;0.230985915492958;0.0338028169014084;0.228169014084507
77;0.270422535211268;0.0366197183098593;0.202816901408451
78;0.115492957746479;0.0563380281690142;0.225352112676056
79;0.0732394366197182;0.0704225352112677;0.166197183098592
80;0.129577464788732;0.0704225352112677;0.132394366197183
81;0.107042253521127;0.0760563380281691;0.12112676056338
82;0.112676056338028;0.169014084507042;0.259154929577465
83;0.0169014084507044;0.267605633802817;0.292957746478873
84;0.104225352112676;0.323943661971831;0.352112676056338
85;0.138028169014085;0.453521126760563;0.385915492957747
86;0.169014084507042;0.515492957746479;0.35774647887324
87;0.391549295774648;0.794366197183099;0.433802816901409
88;0.276056338028169;0.594366197183099;0.771830985915493
89;0.338028169014085;0.932394366197183;0.588732394366197
90;0.484507042253521;0.808450704225352;0.490140845070423
91;0.476056338028169;0.535211267605634;0.208450704225352
92;0.354929577464789;0.473239436619718;0.197183098591549
93;0.707042253521127;0.253521126760563;0.470422535211268
94;0.845070422535211;0.183098591549296;0.205633802816901
95;0.794366197183099;0.0704225352112677;0.225352112676056
96;0.923943661971831;0.028169014084507;0.143661971830986
97;0.684507042253521;0.0197183098591549;0.0563380281690142
98;0.28169014084507;0.0591549295774649;0.028169014084507
99;0.442253521126761;0.107042253521127;0.0450704225352114
100;0.219718309859155;0.242253521126761;0.0507042253521128
