t;H;L
0;0.2;0.5
1;0.526551852781587;0.190234742182087
2;1.41367824699779;0.0765549878102191
3;3.82260201283656;0.0358769345777599
4;10.3610489932223;0.0254265887972895
5;28.070571663877;0.0553244234013393
6;72.9127658618853;2.38173111260238
7;1.83828177012156;70.5346669990289
8;0.051412269380829;26.9232387323965
9;0.0254163434564172;9.93640075238684
10;0.0368400795870078;3.66610675715626
11;0.0793920370515995;1.35604319321542
12;0.198005993394151;0.505333117438729
13;0.521124014554612;0.192197931037758
14;1.39893054224448;0.0772725673691436
15;3.78255241365339;0.0361217714742849
16;10.2523649122067;0.0254243404943003
17;27.7769590219087;0.0542974376731679
18;72.3212991269207;2.22959307165663
19;1.9603464244988;71.1386510019503
20;0.0523548795215838;27.206870160675
